# Position c_coord[0]
-0.00950808 3
-0.00836178 3
-0.00761186 4
-0.00602925 4
-0.0048143 3
-0.00403339 4
-0.00283352 4
-0.00186188 4
-7.86783e-05 6
-0.000286434 4
-0.000950306 6
-0.00951631 3
-0.00856901 4
-0.00769798 5
-0.00683513 7
-0.00597139 6
-0.00500405 5
-0.00372527 0
-0.00258013 5
-0.00160999 6
-0.000738296 5
-0.00872549 5
-0.00775724 4
-0.00674685 5
-0.00587167 5
-0.00410372 6
-0.00491623 6
-0.00312858 4
-0.00214797 5
-0.00125213 5
-0.00950818 4
-0.00850389 3
-0.00753408 4
-0.00663904 7
-0.00578905 3
-0.00469877 3
-0.00403163 6
-0.00330737 4
-0.00242469 3
-0.000209272 4
-0.00950787 3
-0.00857771 4
-0.00692105 5
-0.00594288 4
-0.00495401 4
-0.0040115 4
-0.00260122 5
-0.00163065 5
-0.000688333 4
-0.00951755 3
-0.0090697 4
-0.00791291 5
-0.007835 5
-0.00704338 5
-0.00606369 4
-0.00378704 2
-0.00310212 5
-0.00212414 4
-0.00124457 7
-0.000773976 5
-0.000277666 4
-0.00952734 4
-0.0086764 6
-0.0078396 4
-0.00676106 3
-0.00544032 4
-0.00449621 5
-0.00223587 5
-0.001322 5
-4.81783e-05 4
-0.00952903 3
-0.00869973 6
-0.0078306 6
-0.0069114 4
-0.00606335 6
-0.00512628 7
-0.00420951 5
-0.00280932 4
-0.00238513 6
-0.00152143 5
-0.00054598 5
-0.00867735 5
-0.00754878 4
-0.00605677 5
-0.00519061 5
-0.00423263 5
-0.00332565 4
-0.00242696 3
-0.0015021 2
-0.000228341 4
-0.00911755 4
-0.00831093 6
-0.00758223 2
-0.00657592 3
-0.00584928 5
-0.00494463 4
-0.00407094 5
-0.0033552 6
-0.00157161 3
-0.000726905 4
-0.00022352 3
-0.00914948 6
-0.00952698 4
-0.00857779 6
-0.00813528 4
-0.00716743 3
-0.00667134 6
-0.00602641 6
-0.0050651 4
-0.00412367 5
-0.00312584 4
-0.00215492 4
-0.000956542 6
-0.00952361 3
-0.0086856 7
-0.00630852 5
-0.00535451 5
-0.00442546 4
-0.00322746 4
-0.00233455 4
-0.00156728 5
-0.000578616 6
-0.00089803 6
-0.00800463 5
-0.0088587 8
-0.00706729 4
-0.0034753 4
-0.00258552 6
-0.00160629 4
-0.000632801 5
-0.00953972 4
-0.00860382 5
-0.00766606 5
-0.00595153 3
-0.00418088 5
-0.00497907 4
-0.00325169 4
-0.00135009 4
-0.0095088 2
-0.00870531 7
-0.00780559 4
-0.00652821 1
-0.00550609 2
-0.00409583 6
-0.00321586 6
-0.00213546 1
-0.000540122 4
-0.00951398 4
-0.00851288 6
-0.00675622 5
-0.00585106 4
-0.00467702 5
-0.00380179 7
-0.00340225 6
-0.0028341 6
-0.00112073 6
-3.1377e-05 2
-0.00953478 5
-0.00836256 6
-0.00876817 5
-0.00760029 6
-0.0062244 8
-0.00686716 8
-0.00541463 6
-0.00433453 4
-0.00314815 5
-0.0021041 4
-0.00110019 6
-0.000184947 9
-0.000415684 6
-0.00948706 5
-0.00871645 5
-0.00777405 8
-0.00780673 6
-0.00705567 6
-0.00613614 9
-0.00516544 7
-0.00506858 8
-0.00438585 6
-0.00366679 7
-0.00344145 6
-0.0025862 4
-0.00152833 6
-0.00110245 5
-0.000794793 8
-0.000513803 7
-0.00951804 6
-0.0086575 4
-0.00728967 7
-0.00620595 5
-0.00636433 7
-0.00520833 6
-0.00410502 6
-0.00357458 8
-0.00272021 5
-0.00182214 6
-0.000933662 9
-0.000136031 9
-0.000729399 7
-8.70203e-05 9
-0.0095106 6
-0.00780916 6
-0.00690564 6
-0.0058228 6
-0.00485039 7
-0.00400641 7
-0.0033998 5
-0.0030887 8
-0.0023125 4
-0.00148144 6
-0.00059116 7
-0.00953121 3
-0.00857495 6
-0.00765862 8
-0.00704809 9
-0.00628787 5
-0.00533911 7
-0.00436282 6
-0.00458136 7
-0.00362276 6
-0.00270055 6
-0.00138597 7
-0.00177608 7
-0.000806684 8
-0.00950741 3
-0.00860955 6
-0.00754409 6
-0.00786432 8
-0.0061775 4
-0.00523881 6
-0.00428339 7
-0.00380328 8
-0.00361892 4
-0.00292176 7
-0.00118262 5
-0.00951567 4
-0.00825388 6
-0.00837298 8
-0.00741599 7
-0.00647357 7
-0.00546655 8
-0.00451257 7
-0.00379548 6
-0.00289494 8
-0.00205237 7
-0.00123854 7
-0.00869387 7
-0.00772669 7
-0.00674353 6
-0.00551599 7
-0.00465573 5
-0.00357055 5
-0.00209306 7
-0.00296981 6
-0.00131237 7
-0.000470186 7
-0.00953759 4
-0.00713868 8
-0.00788958 5
-0.00617376 5
-0.00460376 4
-0.00372916 7
-0.00217885 7
-0.00292671 7
-0.00883105 5
-0.00787452 4
-0.00616894 7
-0.00535038 6
-0.00449048 6
-0.00348822 5
-0.00278273 6
-0.00181802 7
-0.00159914 7
-0.000764359 5
-9.91304e-05 5
-0.00952432 5
-0.00860094 7
-0.00746548 4
-0.00666888 5
-0.00546393 5
-0.00458947 6
-0.00385437 5
-0.00253927 8
-0.00221982 7
-0.00156896 6
-0.000621624 6
-0.00936808 4
-0.00808084 5
-0.00662736 6
-0.00567428 5
-0.00478981 5
-0.00442027 6
-0.00390092 7
-0.00300742 5
-0.00215695 6
-0.00106747 7
-7.211e-05 5
-0.0091124 6
-0.00953943 4
-0.00816264 6
-0.0070938 4
-0.00630948 7
-0.00560278 7
-0.00512595 6
-0.00425041 6
-0.00297663 7
-0.00212077 7
-0.00148705 6
-0.000643474 6
-0.00921037 5
-0.00821983 4
-0.00728527 4
-0.00652864 7
-0.00558767 6
-0.0046877 5
-0.00361464 7
-0.00284527 5
-0.00249015 6
-0.00173196 5
-0.0006833 5
-0.00953212 3
-0.00893751 8
-0.00799417 6
-0.00606955 6
-0.00502628 7
-0.00429197 6
-0.00350148 4
-0.00236502 7
-0.00296723 7
-0.0013561 5
-0.00194246 7
-0.00044667 6
-0.00950162 4
-0.00840223 8
-0.00751119 7
-0.00661045 8
-0.00531998 7
-0.00512186 5
-0.00594004 6
-0.00450723 6
-0.00359526 5
-0.00266848 5
-0.00172574 7
-0.00111624 7
-0.00029649 6
-0.0095281 6
-0.00858942 6
-0.00762455 7
-0.00702371 5
-0.00668212 7
-0.00515857 7
-0.005981 5
-0.00424544 7
-0.00293282 5
-0.00206745 5
-0.00118358 6
-0.000388341 5
-0.00951806 6
-0.00868865 4
-0.00794123 6
-0.00674348 6
-0.00539289 8
-0.00500671 8
-0.00579934 7
-0.00443334 7
-0.00376056 5
-0.00281853 6
-0.00211698 5
-0.00149759 1
-0.00897475 7
-0.00841975 7
-0.00781344 7
-0.00692706 8
-0.0059615 6
-0.00490431 7
-0.00345289 7
-0.00249277 5
-0.00089145 6
-0.00951941 6
-0.00855655 7
-0.00773397 6
-0.00740787 8
-0.006872 7
-0.00511428 7
-0.00581683 5
-0.00500206 9
-0.00420009 7
-0.00327991 7
-0.00301513 8
-0.0030008 9
-0.00216289 5
-0.00138378 7
-0.00123646 6
-0.000488686 4
-0.00953199 6
-0.00866788 6
-0.00700999 7
-0.00787545 7
-0.00642261 8
-0.00562533 4
-0.0046815 8
-0.00403682 5
-0.00323545 8
-0.00213293 7
-0.000258204 8
-0.000217532 8
-0.00950567 3
-0.00897184 7
-0.00841281 5
-0.00731914 7
-0.00628127 7
-0.00606193 6
-0.00659839 7
-0.00491645 8
-0.0039488 7
-0.00347193 8
-0.00258762 4
-0.00172983 4
-0.00156743 8
-0.00102302 6
-0.000661546 8
-8.48739e-05 7
-0.00953519 7
-0.00868501 8
-0.00788958 4
-0.005646 4
-0.00460425 4
-0.00389066 5
-0.00213856 6
-0.00280242 6
-0.001073 4
-0.000201719 8
-0.00915311 6
-0.00952203 5
-0.00825973 6
-0.00737524 5
-0.00677148 3
-0.0061757 5
-0.00542774 6
-0.00555111 6
-0.0045899 5
-0.00376715 7
-0.00299828 6
-0.00180731 6
-0.00155651 8
-0.00020507 5
-0.000942053 6
-0.00952974 5
-0.0086096 6
-0.00768599 7
-0.00693329 6
-0.00620322 5
-0.00543581 8
-0.00472893 5
-0.00387359 8
-0.00328758 8
-0.00249224 4
-0.00292613 7
-0.00162891 6
-0.000752476 8
-5.77794e-05 7
-0.00950919 5
-0.00865646 7
-0.00710774 8
-0.00780784 7
-0.00703165 5
-0.00618472 6
-0.00532582 6
-0.00585634 8
-0.00411432 9
-0.00491961 7
-0.00362583 6
-0.00280701 7
-0.00229062 6
-0.00116144 8
-0.00147881 8
-0.000201968 6
-0.00057506 5
-0.00951331 4
-0.00898156 5
-0.0080326 5
-0.00844486 6
-0.00701487 6
-0.00605334 5
-0.00635609 6
-0.00492904 5
-0.00403953 4
-0.00351062 9
-0.00255556 5
-0.00158574 6
-0.00110151 6
-0.000626505 8
-0.00952908 2
-0.00868324 6
-0.00762857 6
-0.00696196 8
-0.00665586 8
-0.00600061 8
-0.00494745 4
-0.00429138 6
-0.00330317 5
-0.00236055 5
-0.00162707 6
-0.00146815 6
-0.000647477 8
-0.00869499 7
-0.00783754 7
-0.00734326 4
-0.00713312 9
-0.00640499 6
-0.0054709 8
-0.00456036 7
-0.00474504 8
-0.00394746 7
-0.00302952 9
-0.00169093 6
-0.000750447 7
-0.00883694 6
-0.0082778 6
-0.00745884 6
-0.00783685 6
-0.00684641 3
-0.00571755 6
-0.0048714 7
-0.00389541 6
-0.00310477 9
-0.00310145 8
-0.00224917 6
-0.00127228 6
-0.000452479 8
-0.00916622 6
-0.0082912 7
-0.00733287 6
-0.0063633 5
-0.00592446 5
-0.00538152 7
-0.00439478 6
-0.00358353 8
-0.00263577 6
-0.00201636 6
-0.00154659 7
-0.000652839 7
-0.0095393 6
-0.00895326 8
-0.00694376 8
