# Position c_coord[0]
-0.00885195 1
-0.00785199 4
-0.00774418 7
-0.00687574 5
-0.00542776 7
-0.0051357 8
-0.00591763 7
-0.00445569 6
-0.0035286 5
-0.00275329 9
-0.00202945 6
-0.000756722 2
-0.00906453 6
-0.00950202 3
-0.00811008 5
-0.00851995 6
-0.00703141 8
-0.00608177 5
-0.00522058 6
-0.00502763 7
-0.00347695 7
-0.00244539 5
-0.00111552 4
-0.000128937 4
-0.00952371 5
-0.00857519 6
-0.00768602 5
-0.00669699 5
-0.00519734 6
-0.00589529 5
-0.00433546 5
-0.00327753 4
-0.00234501 5
-0.00126443 5
-0.00187221 3
-0.000507209 5
-0.00953347 6
-0.00867486 7
-0.0072689 8
-0.00786055 6
-0.00675993 8
-0.00623022 5
-0.00487822 6
-0.00424062 7
-0.00333511 6
-0.00231901 4
-0.0028118 6
-0.000303073 6
-0.000309397 6
-0.0095083 3
-0.00896315 8
-0.00844003 7
-0.00727067 8
-0.00611411 5
-0.00522385 7
-0.00488987 6
-0.00426063 8
-0.00394647 7
-0.00360351 9
-0.00263103 6
-0.00180305 5
-0.00156216 6
-0.00102864 7
-0.000635336 8
-7.90371e-05 9
-0.00953151 6
-0.00865999 8
-0.00785393 5
-0.00681208 4
-0.00620993 5
-0.0057513 6
-0.00525668 6
-0.00455109 5
-0.00394664 6
-0.00214789 6
-0.00283622 7
-0.00101704 4
-0.000101104 8
-0.00912485 6
-0.00951032 4
-0.00820558 6
-0.0073292 6
-0.00691564 6
-0.00548015 7
-0.00461178 4
-0.00375144 5
-0.00301987 6
-0.00286576 7
-0.0014693 6
-0.000194271 6
-0.000998918 6
-0.00952135 6
-0.0085901 6
-0.00766595 8
-0.00691123 6
-0.00628415 3
-0.00552596 7
-0.00477099 5
-0.00390167 9
-0.00333056 7
-0.00246879 4
-0.00289468 5
-0.00163359 4
-0.000742619 6
-0.0095172 5
-0.00868373 6
-0.00705127 7
-0.00781392 7
-0.00609841 5
-0.00603556 6
-0.00510303 5
-0.00426497 9
-0.00403945 5
-0.00374008 5
-0.00298117 6
-0.00219887 6
-0.00114366 6
-0.000163467 8
-0.000427412 6
-0.00951283 5
-0.00899261 5
-0.00841167 6
-0.00797832 5
-0.00696017 7
-0.00601704 6
-0.00638239 6
-0.00513565 6
-0.00350131 7
-0.00251745 4
-0.00156902 6
-0.00102378 5
-0.000602384 7
-0.00952381 4
-0.00864716 6
-0.007753 7
-0.00761624 6
-0.00691958 6
-0.00597597 6
-0.00504935 6
-0.00442324 8
-0.00413629 8
-0.00350074 7
-0.00300311 5
-0.00249865 7
-0.00223034 5
-0.00132051 5
-0.000622098 8
-0.000223342 4
-0.00953031 5
-0.00869161 8
-0.00780221 5
-0.00748143 5
-0.00650982 3
-0.00554102 6
-0.00409316 7
-0.0031588 6
-0.00248175 7
-0.00145036 5
-0.000415602 6
-0.000583026 7
-0.00869191 6
-0.0081469 7
-0.00742409 6
-0.0068663 5
-0.00634735 8
-0.0057693 6
-0.00489346 6
-0.00397141 6
-0.00303788 8
-0.0023406 8
-0.00135966 6
-0.000481452 10
-0.00916009 6
-0.00950853 4
-0.00876513 6
-0.00826326 7
-0.00734062 7
-0.00635085 7
-0.00583587 4
-0.00524343 7
-0.0043084 8
-0.00491824 7
-0.00361394 8
-0.00263221 7
-0.0016469 7
-0.000762542 9
-0.00882036 5
-0.00700474 7
-0.00580698 6
-0.0045498 7
-0.00360288 7
-0.00221041 7
-0.00288781 4
-0.00198416 5
-0.000571833 6
-8.04789e-05 8
-0.00951617 3
-0.00821114 4
-0.0069255 5
-0.00533506 7
-0.0044258 7
-0.00378405 5
-0.00346618 6
-0.00391504 7
-0.00252315 6
-0.00170224 6
-0.00145657 6
-0.000730721 5
