# Position c_coord[0]
-0.00950543 3
-0.00832222 3
-0.00759017 5
-0.00603136 4
-0.00483209 2
-0.00407363 4
-0.00365131 4
-0.0027952 4
-0.0018276 4
-9.4219e-05 5
-0.000523453 3
-0.000965077 6
-0.00952596 3
-0.00857297 3
-0.00765264 4
-0.0068054 6
-0.00597991 6
-0.00500319 3
-0.00268095 5
-0.00150854 5
-0.000750118 6
-0.00865302 4
-0.00773834 5
-0.00582943 5
-0.00405455 5
-0.00488788 6
-0.0030922 4
-0.0019907 5
-0.00121096 5
-0.00951239 4
-0.00853514 4
-0.00750644 3
-0.00667702 5
-0.00662501 7
-0.00578951 3
-0.00472791 4
-0.00404061 6
-0.00331543 6
-0.00246597 3
-0.000208054 5
-0.00949916 2
-0.00859262 5
-0.00685691 3
-0.00587473 5
-0.00489149 5
-0.00396538 4
-0.00256619 3
-0.00160506 5
-0.00065692 4
-0.00952969 3
-0.00908881 4
-0.00795998 5
-0.00780489 5
-0.00706476 3
-0.00608499 3
-0.00384126 3
-0.00314739 4
-0.00211338 4
-0.0012556 7
-0.000817962 5
-0.000262912 4
-0.00953828 4
-0.00870035 6
-0.00788101 4
-0.00677444 1
-0.00551137 5
-0.00454005 4
-0.00320276 7
-0.00224438 5
-0.00131572 5
-7.04575e-05 4
-0.00953722 3
-0.00872331 6
-0.00786397 5
-0.00693282 4
-0.00606912 5
-0.00510735 8
-0.00421664 5
-0.00295125 4
-0.00237713 6
-0.00152538 5
-0.0005654 5
-0.0086893 5
-0.00761869 4
-0.00614954 5
-0.00529457 5
-0.0043523 6
-0.00331726 5
-0.00245808 3
-0.0014849 1
-0.0002436 6
-0.00911313 4
-0.00834769 6
-0.00759146 2
-0.00659109 3
-0.0058754 5
-0.00492783 6
-0.00401441 5
-0.0034323 6
-0.00145778 4
-0.000733968 6
-0.000181534 4
-0.00915826 6
-0.00953034 4
-0.00858083 6
-0.00814219 4
-0.00717892 3
-0.00669416 6
-0.00603682 4
-0.00504415 4
-0.00409627 5
-0.00303317 4
-0.00210244 5
-0.00092176 7
-0.00953153 3
-0.00869975 7
-0.0063042 7
-0.00535846 5
-0.00443074 5
-0.00315943 5
-0.00235229 5
-0.0015504 5
-0.000587314 4
-0.000872802 5
-0.00804109 5
-0.00887695 8
-0.00710036 5
-0.00569053 4
-0.00412061 5
-0.00341228 4
-0.00263493 6
-0.00168394 5
-0.000680369 3
-0.00954885 4
-0.00861637 5
-0.00770075 5
-0.00691904 5
-0.00596061 4
-0.00500054 3
-0.00417102 4
-0.00332412 5
-0.0015431 5
-0.00952485 3
-0.00871576 7
-0.0078328 5
-0.00657312 2
-0.00556299 3
-0.00334193 6
-0.00237711 4
-0.00145227 5
-0.000536971 4
-0.00953051 4
-0.00846828 5
-0.00750806 6
-0.00671995 6
-0.00588165 5
-0.0040806 4
-0.0035047 7
-0.00257247 7
-0.00101427 7
-8.724e-05 2
-0.00954179 5
-0.00829493 6
-0.00879828 6
-0.00750559 5
-0.00624982 9
-0.00685988 6
-0.00545978 6
-0.00506948 5
-0.00457882 5
-0.00391476 5
-0.0028805 7
-0.00211209 4
-0.00105185 5
-0.000170918 8
-0.00943998 4
-0.00871402 5
-0.00779574 7
-0.00781131 6
-0.00697177 6
-0.00603556 6
-0.00433663 5
-0.00499244 7
-0.00348702 6
-0.00343008 7
-0.00253162 8
-0.00159289 6
-0.000763808 9
-0.000512766 8
-0.00951957 5
-0.00861802 7
-0.0073115 7
-0.00617127 6
-0.00638665 8
-0.00519786 6
-0.00404129 6
-0.00266509 7
-0.00180465 7
-0.00114319 8
-0.000918968 8
-0.000168331 9
-0.00073657 7
-8.19845e-05 9
-0.0093629 5
-0.00831325 7
-0.00778738 8
-0.00695095 7
-0.00580354 7
-0.00483564 6
-0.00334793 6
-0.00399307 6
-0.00226103 5
-0.00294374 9
-0.00143757 7
-0.00141127 6
-0.000581735 7
-0.00954561 2
-0.00859866 6
-0.00770791 9
-0.00709673 9
-0.00634489 6
-0.00537895 7
-0.00439059 5
-0.00465307 7
-0.00364554 7
-0.0027072 8
-0.0018057 8
-0.00951392 4
-0.00866176 6
-0.00761113 6
-0.00790181 8
-0.0062254 5
-0.00527398 6
-0.00430132 7
-0.00386947 7
-0.00300339 7
-0.00128986 7
-0.000847325 8
-0.00951709 4
-0.00833308 7
-0.00839972 7
-0.00746903 6
-0.00657159 7
-0.00554012 7
-0.0056119 8
-0.00459637 7
-0.00371301 5
-0.00292432 9
-0.00212085 7
-0.00127677 8
-0.00873808 7
-0.00775674 5
-0.00680822 5
-0.00475099 7
-0.00382357 7
-0.002093 6
-0.00299873 7
-0.00131815 7
-0.000505331 8
-0.00954678 3
-0.0071344 8
-0.0078461 6
-0.00622611 7
-0.00693845 7
-0.00538663 8
-0.00445204 6
-0.00353507 6
-0.00368965 8
-0.00219626 7
-0.000446797 8
-0.00885274 5
-0.00790652 4
-0.00617485 7
-0.0053596 8
-0.00449319 6
-0.00342765 5
-0.00275193 6
-0.00180478 7
-0.00155638 8
-0.000794789 7
-0.000140762 7
-0.00952856 5
-0.00861692 6
-0.00755918 5
-0.00671097 5
-0.00549691 6
-0.00466192 6
-0.00392071 6
-0.00247965 7
-0.00220955 8
-0.00154514 8
-0.000605837 7
-0.00937547 4
-0.00809223 5
-0.0066266 6
-0.00567491 7
-0.00486855 8
-0.00456014 7
-0.00399585 8
-0.00303791 6
-0.00306002 7
-0.00218286 6
-0.00109818 5
-0.00011261 4
-0.00912061 6
-0.00954548 5
-0.00820635 7
-0.00782195 9
-0.00711392 7
-0.00635747 6
-0.00566207 6
-0.00521511 8
-0.00437458 7
-0.00222195 7
-0.00295829 6
-0.00181913 8
-0.00098726 6
-0.000144467 6
-0.0092439 5
-0.00827114 6
-0.007324 6
-0.00659529 7
-0.00565196 7
-0.00475511 5
-0.00462675 7
-0.00319231 5
-0.00371499 6
-0.00257242 8
-0.00199961 5
-0.00105604 5
-0.00952476 3
-0.00894836 9
-0.0080387 8
-0.00694897 5
-0.00611937 8
-0.00576833 6
-0.00499868 4
-0.00417256 6
-0.00327486 7
-0.00239981 7
-0.00124001 7
-0.00184994 7
-0.0095012 3
-0.00846507 6
-0.00747506 7
-0.0066178 8
-0.00535435 7
-0.00508711 5
-0.00589737 5
-0.00436647 6
-0.00349829 6
-0.00266158 7
-0.00155067 7
-0.00104425 7
-0.000408158 7
-0.00027071 7
-0.00953396 5
-0.00860475 6
-0.0076232 7
-0.00700237 5
-0.0066938 6
-0.00505359 7
-0.00599671 4
-0.00416101 7
-0.00234959 6
-0.00297586 6
-0.00114368 7
-0.00128599 5
-0.000378564 8
-0.00951783 6
-0.00866438 4
-0.00794841 7
-0.00776554 7
-0.0067567 6
-0.00543235 9
-0.00505145 8
-0.00577279 6
-0.00436241 8
-0.00344477 7
-0.00208324 5
-0.00270351 9
-0.00173641 7
-0.00905727 8
-0.00835076 7
-0.00694689 9
-0.00598797 5
-0.00490043 6
-0.00347875 6
-0.00250339 5
-0.00199543 7
-0.000953515 7
-1.0962e-06 7
-0.00954136 5
-0.00851794 6
-0.00774919 6
-0.00745789 8
-0.00689014 6
-0.00589006 6
-0.00516063 7
-0.00504605 7
-0.00588663 5
-0.00425597 6
-0.0030471 7
-0.00333812 6
-0.00218463 6
-0.00136225 7
-0.000496967 4
-0.00954545 5
-0.00870766 8
-0.0070626 7
-0.00794441 8
-0.00648243 8
-0.00567486 7
-0.00473568 9
-0.0040516 6
-0.00303605 7
-0.00332776 7
-0.00216103 5
-0.00125798 7
-0.000288472 8
-0.000245868 7
-0.00950845 3
-0.00898779 8
-0.00848177 7
-0.00740639 7
-0.00635748 6
-0.00612437 9
-0.0067237 7
-0.00500846 8
-0.00402778 6
-0.00420008 7
-0.00349593 9
-0.0026417 6
-0.00172156 5
-0.00157796 6
-0.00104173 7
-0.000696905 8
-0.000106505 7
-0.00955145 6
-0.00870262 8
-0.00795209 5
-0.0052655 7
-0.00578228 6
-0.00469057 4
-0.0039242 4
-0.0021263 6
-0.00279923 7
-0.00109893 4
-0.000232975 9
-0.00922392 6
-0.0095315 5
-0.00833088 6
-0.00741503 4
-0.00617154 5
-0.00544982 6
-0.00561339 8
-0.00452646 6
-0.00369944 8
-0.00304363 6
-0.00288617 7
-0.00184581 6
-0.00159719 8
-0.000208093 7
-0.000917561 7
-0.00954981 5
-0.00865882 6
-0.00774798 7
-0.00697281 7
-0.00627847 5
-0.00550889 7
-0.00471178 6
-0.00387964 10
-0.00334937 8
-0.00250632 4
-0.00294328 6
-0.00162238 7
-0.000672117 7
-4.89401e-05 8
-0.00951508 5
-0.00869954 6
-0.00717147 8
-0.00785382 8
-0.00710039 6
