# Position c_coord[0]
-0.00693514 2
-0.00635617 2
-0.00585297 5
-0.00435739 6
-0.00480342 4
-0.00303101 5
-0.00182156 7
-0.00894006 3
-0.00766545 1
-0.00647137 5
-0.00688957 1
-0.0055125 2
-0.00379999 5
-0.00281089 6
-0.00159616 4
-0.00200854 7
-0.00081812 6
-6.39971e-05 3
-0.00949686 6
-0.00814688 4
-0.00713604 4
-0.00619582 4
-0.00419073 6
-0.00465639 1
-0.0032254 6
-0.00196276 5
-0.000951416 5
-0.0094968 3
-0.0086143 4
-0.00858434 1
-0.00784572 4
-0.00687079 3
-0.00546876 4
-0.00380566 3
-0.00288975 4
-0.00196016 7
-0.000972062 4
-3.8897e-05 4
-0.00949649 4
-0.00766583 2
-0.00677634 5
-0.00581888 5
-0.00445062 3
-0.0034176 5
-0.00216897 4
-0.00112238 6
-0.000133311 6
-0.00949653 5
-0.0081164 4
-0.00723743 2
-0.00620573 4
-0.00507601 1
-0.00405781 0
-0.00313557 2
-0.00284931 2
-0.00187682 3
-3.19651e-05 5
-0.00949643 3
-0.00902336 5
-0.00817305 4
-0.00723876 4
-0.00624587 0
-0.00535538 4
-0.00478802 4
-0.0038266 3
-0.00222257 4
-0.00120994 7
-0.00865244 4
-0.00723094 4
-0.00775981 2
-0.00621487 3
-0.00515238 2
-0.00437065 2
-0.0032536 1
-0.00236042 6
-0.00134916 7
-0.000288879 4
-0.00949674 3
-0.00881692 3
-0.0078884 0
-0.00686238 5
-0.00597098 1
-0.00493392 3
-0.00415543 4
-0.00315026 4
-0.00168527 7
-0.00069846 5
-0.00949631 3
-0.00851502 6
-0.00719576 5
-0.00620389 4
-0.00533583 1
-0.00442283 5
-0.00336971 5
-0.00309704 5
-0.00225187 5
-0.00129417 6
-0.000295249 7
-0.0091258 4
-0.00949657 4
-0.00811674 4
-0.00892148 3
-0.00712133 2
-0.00753533 4
-0.00609895 4
-0.00517118 2
-0.00449995 0
-0.00414677 3
-0.00361316 1
-0.00312137 3
-0.00148163 6
-0.000446487 4
-0.00949684 2
-0.00845884 0
-0.00743467 1
-0.00669018 3
-0.00623034 5
-0.00561956 4
-0.00451774 1
-0.0033184 4
-0.00229708 7
-0.00162474 5
-0.000674093 6
-0.00949692 3
-0.00856325 2
-0.00787291 3
-0.00662977 5
-0.00564975 5
-0.00475551 3
-0.00451043 4
-0.00376107 0
-0.00271398 3
-0.000900702 5
-0.00920664 3
-0.00821264 4
-0.00727014 3
-0.00652256 0
-0.00597674 3
-0.00506993 2
-0.00423107 1
-0.00345975 2
-0.00245196 5
-0.00138401 6
-0.00037057 5
-0.009497 3
-0.00769831 1
-0.00669915 4
-0.0057697 4
-0.00416364 3
-0.00303884 4
-0.00198508 5
-0.000707074 1
-0.00949721 4
-0.00843651 3
-0.00734565 6
-0.00663383 3
-0.00537834 3
-0.00460194 5
-0.0035419 4
-0.0038398 5
-0.0025059 6
-0.00280194 5
-0.00128197 4
-0.000516793 5
-0.00949662 4
-0.00862705 3
-0.00799228 3
-0.00697906 3
-0.00610985 4
-0.00573739 4
-0.00507995 4
-0.00408907 6
-0.00316587 6
-0.0010146 6
-0.0016098 6
-0.00949644 5
-0.00875827 4
-0.00772642 3
-0.00674104 1
-0.00560108 1
-0.00470433 4
-0.00374102 3
-0.0023719 5
-0.00252013 3
-0.00155259 4
-0.000580671 6
-0.00949683 1
-0.00806028 4
-0.00718024 8
-0.00617715 5
-0.00525206 3
-0.00425368 4
-0.00326717 3
-0.002708 4
-0.00205117 6
-0.0007774 5
-0.0094964 5
-0.0086822 3
-0.00875786 3
-0.00788789 4
-0.00700273 2
-0.00578749 1
-0.00474836 3
-0.00362326 3
-0.00247207 6
-0.00141236 4
-0.00036801 6
-0.00949674 3
-0.00863137 6
-0.00779747 3
-0.00682888 2
-0.00614924 4
-0.00559988 3
-0.00513458 3
-0.00457566 4
-0.00412095 6
-0.00349327 6
-0.00220082 5
-0.00294441 4
-0.0021408 5
-0.00101832 1
-0.000216244 1
-0.00949648 0
-0.00853616 3
-0.00755857 2
-0.00654901 1
-0.00557733 5
-0.00428549 6
-0.00368698 6
-0.00267468 4
-0.00167485 8
-0.0005654 3
-0.000967945 7
-6.14264e-05 5
-0.00949685 3
-0.00833816 4
-0.00865005 3
-0.00746354 3
-0.00669461 1
-0.00601363 2
-0.00551005 4
-0.00471362 6
-0.00364696 5
-0.00298361 3
-0.0019011 3
-0.00114496 8
-0.000918475 5
-3.91153e-05 6
-0.00949657 0
-0.00792112 5
-0.00694625 1
-0.00607062 5
-0.00528 3
-0.00467456 4
-0.0040129 6
-0.00261862 5
-0.00222287 4
-0.00303385 4
-0.00196849 1
-0.000945359 5
-7.09982e-05 4
-0.00815063 6
-0.00574542 4
-0.00477697 5
-0.00485024 2
-0.00391693 5
-0.00230926 6
-0.00152103 6
-0.000528963 1
-0.0094966 4
-0.00825282 0
-0.00726674 2
-0.00656636 5
-0.00601539 5
-0.00455896 2
-0.00318334 6
-0.00222566 5
-0.001401 4
-0.00123818 4
-0.000199132 7
-0.00949683 4
-0.00949705 5
-0.00864155 0
-0.00763716 4
-0.00683272 3
-0.00595078 4
-0.00510402 5
-0.00371175 4
-0.00307931 7
-0.00168208 5
-0.000643804 8
-0.00949668 4
-0.00872277 5
-0.00783452 3
-0.00702539 5
-0.00596207 5
-0.00509935 5
-0.00393231 3
-0.00331432 1
-0.00246372 5
-0.00175219 4
-0.00131462 3
-0.000544586 6
-0.00949705 3
-0.00860625 4
-0.00745897 1
-0.00777459 2
-0.0070333 4
-0.00608046 3
-0.0052017 3
-0.00443452 5
-0.0031011 4
-0.00394259 5
-0.00204304 5
-0.00115096 6
-0.000137435 7
-0.0086419 4
-0.00735907 4
-0.00638032 2
-0.00493928 6
-0.00376557 1
-0.00273045 4
-0.00207235 6
-0.00118854 5
-0.00014817 5
-0.00931719 3
-0.00832842 4
-0.00858209 4
-0.00763194 3
-0.00682452 6
-0.00561445 3
-0.00484482 4
-0.00327936 4
-0.00223645 4
-0.00161642 5
-0.000836915 3
-0.00949671 2
-0.00795483 5
-0.00774282 7
-0.00709887 3
-0.00622007 1
-0.00532718 4
-0.00483059 1
-0.00414285 4
-0.00237013 4
-0.00146589 6
-0.000777046 7
-0.00949644 5
-0.00861784 5
-0.00760339 1
-0.00651964 2
-0.0055796 2
-0.00404405 4
-0.00314725 1
-0.00156893 5
-0.000609611 6
-0.00887127 6
-0.0080039 3
-0.00710402 3
-0.00626709 5
-0.00534516 2
-0.00386265 1
-0.00279722 3
-0.00138707 8
-0.00949652 3
-0.00863132 3
-0.00775043 3
-0.00611958 1
-0.00688227 2
-0.00526971 2
-0.00449964 3
-0.00431763 3
-0.00349674 3
-0.00266344 5
-0.00159842 7
-0.000548134 5
-0.0094964 3
-0.00949678 2
-0.00868212 4
-0.00702986 3
-0.00798235 4
-0.00388412 3
-0.00328011 5
-0.00224145 6
-0.00269546 6
-0.00133885 3
-0.0016538 6
-0.000259314 5
-0.00885083 2
-0.00765034 5
-0.00684301 2
-0.00613857 5
-0.0051629 4
-0.00325886 4
-0.00211138 5
-0.00101328 4
-0.00949655 2
-0.00949579 0
-0.00833344 3
-0.00891788 5
-0.00758235 5
-0.00664413 5
-0.00594062 6
-0.00486641 1
-0.00385603 4
-0.00258449 5
-0.00156768 5
-0.000321522 7
-0.00949638 2
-0.00862435 5
-0.00760627 4
-0.00666729 5
-0.00583366 2
-0.00510423 2
-0.0041577 6
-0.00305935 4
-0.00196289 5
-0.00100674 5
1.34426e-05 5
-0.00949642 0
-0.00875174 4
-0.00777084 5
-0.00714189 5
-0.00534782 4
-0.00582652 5
-0.00381896 2
-0.00274888 5
-0.00102487 7
-0.00135182 1
-0.000250336 6
-0.00949705 3
-0.00803635 1
-0.00633798 5
-0.00673466 1
-0.0056942 1
-0.00464079 0
-0.00309931 7
-0.00208162 1
-0.000618199 5
-0.00949716 3
-0.00863386 0
-0.00787901 4
-0.00765219 4
-0.00621957 5
-0.0051825 3
-0.00441327 4
-0.00382726 4
-0.00267312 5
-0.00126852 4
-0.00194706 4
-0.00949698 4
-0.00862167 4
-0.00789983 4
-0.00716592 6
-0.00624377 2
-0.00508321 1
-0.00337749 3
-0.00283122 6
-0.00151804 7
-0.000266824 6
-0.000451106 5
-0.00949702 4
-0.00781913 4
-0.00583572 3
-0.00503735 1
-0.00426724 6
-0.00386769 4
-0.00302554 4
-0.00218259 5
-0.00123061 6
-0.000114542 6
-0.0094966 5
-0.00857712 5
-0.00776546 3
-0.00670009 4
-0.00557649 5
-0.00454911 7
-0.00352042 2
-0.00248035 5
-0.00949675 4
-0.00877779 4
-0.00742552 4
-0.00656184 4
-0.00583086 7
-0.00543477 2
-0.00438903 2
-0.00335458 4
-0.00232093 5
-0.00152631 5
-0.000500902 5
-0.00949691 2
-0.00870827 6
-0.00774409 2
-0.00671676 3
-0.00569478 4
-0.00467743 5
-0.00365891 4
-0.00265848 4
-0.00182458 4
-0.000476829 6
-0.00949617 1
-0.0081358 3
-0.00869104 3
-0.00868766 4
-0.00789639 2
-0.00613112 2
-0.00694851 3
-0.00524106 2
-0.00433122 4
-0.00278822 6
-0.00195163 4
-0.00116776 6
-0.00090486 6
-0.00949674 2
-0.00863342 8
-0.00716289 1
-0.00684905 0
-0.00627301 4
-0.0054068 4
-0.00438461 3
-0.00346024 5
-0.00205054 7
-0.000578054 5
-0.00949661 3
-0.00861101 4
-0.00778409 5
-0.00654521 1
-0.00593044 5
-0.00494821 3
-0.00383409 3
-0.00281182 5
-0.00176452 4
-0.00101343 4
-0.000843635 6
-0.00949647 4
-0.00862576 3
-0.00773482 3
-0.00675185 4
-0.00574384 4
-0.00478327 4
-0.00391441 2
-0.00285162 5
-0.002224 5
-0.00120154 6
-0.000830316 4
-0.000192767 4
-0.00949698 4
-0.00949708 3
-0.00864416 0
-0.00776671 2
-0.00670135 3
-0.00572284 3
-0.0044009 3
-0.00325918 3
-0.0030695 4
-0.00203887 6
-0.00949682 1
-0.00823168 2
-0.00723993 4
-0.0064355 3
-0.00549119 4
-0.00445255 6
-0.00341588 4
-0.00369 4
-0.00254658 5
-0.000762573 7
-0.00872819 5
-0.0077406 5
-0.0067627 3
-0.00516133 7
-0.00410822 5
-0.00258564 4
-0.00165634 6
-0.000700944 6
-0.00949669 2
-0.00887345 5
-0.00795177 2
-0.00694582 3
-0.00600626 6
-0.00476092 4
-0.00406742 5
-0.00342062 5
-0.00299831 7
-0.00216459 4
-0.000398388 3
-0.00877433 3
-0.00834828 4
-0.00753164 3
-0.00652443 3
-0.00552178 0
-0.00365703 6
-0.0020226 6
-0.00127433 6
-0.00070411 4
-0.0093412 6
-0.00841308 5
-0.00654253 5
-0.0055363 4
-0.00454139 4
-0.00239508 6
-0.00202452 4
-0.000979389 5
-0.000280091 4
-0.00949688 2
-0.00864946 5
-0.00789195 3
-0.00680173 2
-0.00569944 2
-0.00422132 4
-0.00302638 1
-0.000948431 5
-0.00873146 3
-0.00882371 6
-0.00696948 3
-0.00693599 6
-0.0062644 4
-0.00550006 2
-0.0049693 4
-0.00335728 4
-0.00397551 6
-0.00294453 3
-0.00245697 6
-0.00101193 4
-0.00186686 5
-5.47019e-05 7
-0.00949631 2
-0.00850744 7
-0.00707158 0
-0.00790794 4
-0.00612012 3
-0.0051872 2
-0.00401723 7
-0.00423143 4
-0.00297948 6
-0.00198443 5
-0.00151364 6
-0.000950317 8
-0.000140433 6
-0.00949647 1
-0.00807668 5
-0.00633884 1
-0.00394256 5
-0.00292186 6
-0.00156818 3
-0.000472991 2
-0.00931301 2
-0.00835423 4
-0.00723967 4
-0.00640158 2
-0.00493432 4
-0.00298806 5
-0.00199938 6
-0.00119854 1
-0.000305632 4
-0.00941646 1
-0.00832277 4
-0.00735345 1
-0.00645499 3
-0.00575984 5
-0.00452844 2
-0.00355735 3
-0.00186336 5
-0.000262225 6
-0.000900329 5
-0.00949654 0
-0.00851914 6
-0.00726681 2
-0.00775347 4
-0.0063098 5
-0.00513142 4
-0.00413932 5
-0.00277664 7
-0.00182951 4
-0.00113847 8
-0.000797509 8
-0.00949686 0
-0.00884041 5
-0.00692603 3
-0.00569562 3
-0.00467046 6
-0.00318697 5
-0.00217446 5
-0.00131488 4
-0.00943722 2
-0.00840912 4
-0.00754663 2
-0.00697981 5
-0.0064914 6
-0.0054356 0
-0.00457832 3
-0.00376791 6
-0.00282698 4
-0.00138546 7
-0.0003756 6
-0.00854639 3
-0.00785776 4
-0.00712982 3
-0.00601964 5
-0.00425808 2
-0.00502869 3
-0.00364722 5
-0.00273153 5
-0.00133657 4
-0.00198355 6
-0.000242702 1
-0.00949501 2
-0.00875696 0
-0.0077972 4
-0.00629296 5
-0.00675314 2
-0.0055022 5
-0.00440438 3
-0.00337268 0
-0.0019738 5
-0.000935059 7
-0.0094971 2
-0.0082341 2
-0.00720999 3
-0.00624953 5
-0.00526452 6
-0.00423697 4
-0.00277636 6
-0.00132627 5
-0.00949662 0
-0.00800675 0
-0.00821301 5
-0.00736622 0
