"cellID","T_0","voidfractionPrev","rho","voidfractionNext","ddtVoidfraction","KslNext","UsWeightField_","p","Ksl","Tsource","voidfraction","T","KslPrev","voidfraction_0","U_0:0","U_0:1","U_0:2","U:0","U:1","U:2","expParticleForces:0","expParticleForces:1","expParticleForces:2","UsNext:0","UsNext:1","UsNext:2","impParticleForces:0","impParticleForces:1","impParticleForces:2","UsPrev:0","UsPrev:1","UsPrev:2","Us:0","Us:1","Us:2","Cell Type"
23,576.26,1,0.175,1,0,0,0,2075.8,0,0,1,576.26,0,1,0.0097944,-0.0001674,0.042742,0.0097935,-0.00016733,0.042743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
24,576.38,1,0.175,1,0,0,0,2075.8,0,0,1,576.38,0,1,0.0062083,-0.0001629,0.042257,0.0062069,-0.00016362,0.042257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
25,576.52,1,0.175,1,0,0,0,2075.8,0,0,1,576.52,0,1,0.0042514,-0.00012361,0.041792,0.0042507,-0.00012542,0.041793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
26,576.63,1,0.175,1,0,0,0,2075.7,0,0,1,576.63,0,1,0.0026529,-5.6316e-05,0.041452,0.0026558,-5.8127e-05,0.041453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
27,576.74,1,0.175,1,0,0,0,2075.8,0,0,1,576.74,0,1,0.0018332,-0.00010867,0.04131,0.001836,-0.00010691,0.041309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
28,576.81,1,0.175,1,0,0,0,2075.7,0,0,1,576.81,0,1,0.0013133,-1.4372e-05,0.04109,0.0013124,-1.2417e-05,0.04109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
29,576.85,1,0.175,1,0,0,0,2075.7,0,0,1,576.85,0,1,0.0010372,-8.458e-05,0.041045,0.0010355,-8.3543e-05,0.041045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
30,576.83,1,0.175,1,0,0,0,2075.7,0,0,1,576.83,0,1,0.00058442,-5.8199e-05,0.04089,0.00058287,-5.8207e-05,0.040891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
31,576.8,1,0.175,1,0,0,0,2075.7,0,0,1,576.8,0,1,0.00032009,-0.00012151,0.040875,0.0003187,-0.00012262,0.040876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
32,576.7,1,0.175,1,0,0,0,2075.7,0,0,1,576.7,0,1,-0.00062423,-0.0001301,0.040828,-0.00062462,-0.00013223,0.040829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
33,576.61,1,0.175,1,0,0,0,2075.8,0,0,1,576.61,0,1,-0.0016226,-0.00025642,0.040948,-0.0016194,-0.00025834,0.040949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
