"T_0","voidfractionPrev","rho","voidfractionNext","ddtVoidfraction","KslNext","UsWeightField_","p","Ksl","Tsource","voidfraction","T","KslPrev","voidfraction_0","U_0:0","U_0:1","U_0:2","U:0","U:1","U:2","expParticleForces:0","expParticleForces:1","expParticleForces:2","UsNext:0","UsNext:1","UsNext:2","impParticleForces:0","impParticleForces:1","impParticleForces:2","UsPrev:0","UsPrev:1","UsPrev:2","Us:0","Us:1","Us:2","Points:0","Points:1","Points:2"
573,1,0.175,1,0,0,0,2075.8,0,0,1,573,0,1,0,0,0.05,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.006,0.00083333,-0.01
573,1,0.175,1,0,0,0,2075.8,0,0,1,573,0,1,0,0,0.05,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.005,0.00083333,-0.01
573,1,0.175,1,0,0,0,2075.7,0,0,1,573,0,1,0,0,0.05,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.004,0.00083333,-0.01
573,1,0.175,1,0,0,0,2075.7,0,0,1,573,0,1,0,0,0.05,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.003,0.00083333,-0.01
573,1,0.175,1,0,0,0,2075.7,0,0,1,573,0,1,0,0,0.05,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.002,0.00083333,-0.01
573,1,0.175,1,0,0,0,2075.7,0,0,1,573,0,1,0,0,0.05,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.001,0.00083333,-0.01
573,1,0.175,1,0,0,0,2075.7,0,0,1,573,0,1,0,0,0.05,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00083333,-0.01
573,1,0.175,1,0,0,0,2075.7,0,0,1,573,0,1,0,0,0.05,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.00083333,-0.01
573,1,0.175,1,0,0,0,2075.7,0,0,1,573,0,1,0,0,0.05,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0.00083333,-0.01
573,1,0.175,1,0,0,0,2075.7,0,0,1,573,0,1,0,0,0.05,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0.00083333,-0.01
573,1,0.175,1,0,0,0,2075.7,0,0,1,573,0,1,0,0,0.05,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004,0.00083333,-0.01
573,1,0.175,1,0,0,0,2075.7,0,0,1,573,0,1,0,0,0.05,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0.00083333,-0.01
573,1,0.175,1,0,0,0,2075.8,0,0,1,573,0,1,0,0,0.05,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006,0.00083333,-0.01
573,1,0.175,1,0,0,0,2075.8,0,0,1,573,0,1,0,0,0.05,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007,0.00083333,-0.01
573,1,0.175,1,0,0,0,2075.8,0,0,1,573,0,1,0,0,0.05,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008,0.00083333,-0.01
573,1,0.175,1,0,0,0,2075.8,0,0,1,573,0,1,0,0,0.05,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009,0.00083333,-0.01
574.47,1,0.175,1,0,0,0,2075.8,0,0,1,574.47,0,1,0,0,0.025867,0,0,0.025867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.00083333,-0.01
574.49,1,0.175,1,0,0,0,2075.8,0,0,1,574.49,0,1,0,0,0.025867,0,0,0.025867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.01,0.0025,-0.01
573,1,0.175,1,0,0,0,2075.8,0,0,1,573,0,1,0,0,0.05,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.009,0.0025,-0.01
573,1,0.175,1,0,0,0,2075.8,0,0,1,573,0,1,0,0,0.05,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.008,0.0025,-0.01
573,1,0.175,1,0,0,0,2075.8,0,0,1,573,0,1,0,0,0.05,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.007,0.0025,-0.01
573,1,0.175,1,0,0,0,2075.8,0,0,1,573,0,1,0,0,0.05,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.006,0.0025,-0.01
573,1,0.175,1,0,0,0,2075.8,0,0,1,573,0,1,0,0,0.05,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.005,0.0025,-0.01
573,1,0.175,1,0,0,0,2075.7,0,0,1,573,0,1,0,0,0.05,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.004,0.0025,-0.01
573,1,0.175,1,0,0,0,2075.7,0,0,1,573,0,1,0,0,0.05,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.003,0.0025,-0.01
573,1,0.175,1,0,0,0,2075.7,0,0,1,573,0,1,0,0,0.05,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.002,0.0025,-0.01
573,1,0.175,1,0,0,0,2075.7,0,0,1,573,0,1,0,0,0.05,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.001,0.0025,-0.01
573,1,0.175,1,0,0,0,2075.7,0,0,1,573,0,1,0,0,0.05,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0025,-0.01
573,1,0.175,1,0,0,0,2075.7,0,0,1,573,0,1,0,0,0.05,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.0025,-0.01
573,1,0.175,1,0,0,0,2075.7,0,0,1,573,0,1,0,0,0.05,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0.0025,-0.01
573,1,0.175,1,0,0,0,2075.7,0,0,1,573,0,1,0,0,0.05,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0.0025,-0.01
573,1,0.175,1,0,0,0,2075.7,0,0,1,573,0,1,0,0,0.05,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004,0.0025,-0.01
573,1,0.175,1,0,0,0,2075.7,0,0,1,573,0,1,0,0,0.05,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0.0025,-0.01
573,1,0.175,1,0,0,0,2075.8,0,0,1,573,0,1,0,0,0.05,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006,0.0025,-0.01
573,1,0.175,1,0,0,0,2075.8,0,0,1,573,0,1,0,0,0.05,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007,0.0025,-0.01
573,1,0.175,1,0,0,0,2075.8,0,0,1,573,0,1,0,0,0.05,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008,0.0025,-0.01
573,1,0.175,1,0,0,0,2075.8,0,0,1,573,0,1,0,0,0.05,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009,0.0025,-0.01
574.47,1,0.175,1,0,0,0,2075.8,0,0,1,574.47,0,1,0,0,0.025867,0,0,0.025867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.0025,-0.01
579.31,1,0.175,1,0,0,0,2075.8,0,0,1,579.31,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.01,-0.0025,-0.00875
579.34,1,0.175,1,0,0,0,2075.8,0,0,1,579.34,0,1,0.0099454,0.00011209,0.041398,0.0099454,0.0001121,0.041398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.009,-0.0025,-0.00875
579.44,1,0.175,1,0,0,0,2075.8,0,0,1,579.44,0,1,0.012525,0.0001362,0.051966,0.012525,0.00013611,0.051966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.008,-0.0025,-0.00875
579.64,1,0.175,1,0,0,0,2075.8,0,0,1,579.64,0,1,0.010737,0.00012671,0.054453,0.010737,0.00012658,0.054453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.007,-0.0025,-0.00875
579.88,1,0.175,1,0,0,0,2075.8,0,0,1,579.88,0,1,0.0084507,0.00011331,0.054104,0.0084508,0.0001133,0.054104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.006,-0.0025,-0.00875
580.16,1,0.175,1,0,0,0,2075.8,0,0,1,580.16,0,1,0.0058884,0.00010807,0.053275,0.0058885,0.00010837,0.053275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.005,-0.0025,-0.00875
580.43,1,0.175,1,0,0,0,2075.8,0,0,1,580.43,0,1,0.0040863,7.9144e-05,0.052252,0.0040862,7.9695e-05,0.052252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.004,-0.0025,-0.00875
580.67,1,0.175,1,0,0,0,2075.8,0,0,1,580.67,0,1,0.0027904,7.9958e-05,0.05157,0.0027902,8.0003e-05,0.05157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.003,-0.0025,-0.00875
580.86,1,0.175,1,0,0,0,2075.8,0,0,1,580.86,0,1,0.0019501,6.8747e-05,0.05105,0.00195,6.8167e-05,0.05105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.002,-0.0025,-0.00875
580.97,1,0.175,1,0,0,0,2075.8,0,0,1,580.97,0,1,0.001449,5.8137e-05,0.050832,0.0014491,5.7591e-05,0.050832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.001,-0.0025,-0.00875
581,1,0.175,1,0,0,0,2075.8,0,0,1,581,0,1,0.00096798,7.1137e-05,0.050797,0.00096812,7.0833e-05,0.050797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0025,-0.00875
580.95,1,0.175,1,0,0,0,2075.8,0,0,1,580.95,0,1,0.00049988,7.7287e-05,0.050926,0.00050004,7.7312e-05,0.050926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,-0.0025,-0.00875
