"T_0","voidfractionPrev","rho","voidfractionNext","ddtVoidfraction","KslNext","UsWeightField_","p","Ksl","T","Tsource","voidfraction","KslPrev","voidfraction_0","U_0:0","U_0:1","U_0:2","U:0","U:1","U:2","expParticleForces:0","expParticleForces:1","expParticleForces:2","UsNext:0","UsNext:1","UsNext:2","impParticleForces:0","impParticleForces:1","impParticleForces:2","UsPrev:0","UsPrev:1","UsPrev:2","Us:0","Us:1","Us:2","Points:0","Points:1","Points:2"
588.35,1,0.175,1,0,0,0,3002.3,0,588.35,0,1,0,1,0.032194,0.00021401,0.0068474,0.032194,0.00021401,0.0068474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.033,-0.0025,0.001
596.23,1,0.175,1,0,0,0,3002.3,0,596.23,0,1,0,1,0.026266,0.00031611,0.0040931,0.026266,0.00031611,0.0040931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.03175,-0.0025,0.001
603.65,1,0.175,1,0,0,0,3002.3,0,603.65,0,1,0,1,0.021557,0.00068453,0.0018432,0.021557,0.00068453,0.0018432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0305,-0.0025,0.001
610.5,1,0.175,1,0,0,0,3002.3,0,610.5,0,1,0,1,0.022472,0.0010564,-2.6801e-05,0.022472,0.0010564,-2.6801e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.02925,-0.0025,0.001
615.52,1,0.175,1,0,0,0,3002.2,0,615.52,0,1,0,1,0.022221,0.002252,-0.0016792,0.022221,0.002252,-0.0016792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.028,-0.0025,0.001
617.74,1,0.175,1,0,0,0,3002.3,0,617.74,0,1,0,1,0.033183,0.0024892,-0.0021724,0.033183,0.0024892,-0.0021724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.02675,-0.0025,0.001
616.27,0.77314,0.175,0.77314,1.736e-12,52006,17.607,3002.2,52006,616.27,1317.6,0.77314,52006,0.77314,0.057468,0.00084191,-0.0011455,0.057468,0.00084191,-0.0011455,0,0,0,2.3611e-11,-6.9962e-13,-1.5222e-13,2.7107e-06,6.2662e-09,3.2396e-08,2.3177e-11,5.196e-13,2.8488e-13,2.3611e-11,-6.9962e-13,-1.5222e-13,-0.0255,-0.0025,0.001
573,1,0.175,1,0,0,0,3002.3,0,573,0,1,0,1,0.05,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0355,-0.00083333,0.001
580.62,1,0.175,1,0,0,0,3002.3,0,580.62,0,1,0,1,0.040614,-0.0001263,0.010581,0.040614,-0.0001263,0.010581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.03425,-0.00083333,0.001
588.36,1,0.175,1,0,0,0,3002.3,0,588.36,0,1,0,1,0.032117,-0.00025771,0.0068929,0.032117,-0.00025771,0.0068929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.033,-0.00083333,0.001
596.24,1,0.175,1,0,0,0,3002.3,0,596.24,0,1,0,1,0.026059,-0.00040555,0.0041685,0.026059,-0.00040555,0.0041685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.03175,-0.00083333,0.001
603.67,1,0.175,1,0,0,0,3002.3,0,603.67,0,1,0,1,0.021149,-0.00088284,0.0020645,0.021149,-0.00088284,0.0020645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0305,-0.00083333,0.001
610.53,1,0.175,1,0,0,0,3002.3,0,610.53,0,1,0,1,0.021407,-0.0014157,0.00028969,0.021407,-0.0014157,0.00028969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.02925,-0.00083333,0.001
615.64,1,0.175,1,0,0,0,3002.2,0,615.64,0,1,0,1,0.020503,-0.0030543,-0.0009185,0.020503,-0.0030543,-0.0009185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.028,-0.00083333,0.001
618.11,1,0.175,1,0,0,0,3002.3,0,618.11,0,1,0,1,0.029178,-0.0032241,-0.0016443,0.029178,-0.0032241,-0.0016443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.02675,-0.00083333,0.001
616.91,0.76839,0.175,0.76839,2.0832e-12,91447,26.377,3002.2,91447,616.91,1870.6,0.76839,91447,0.76839,0.051326,-0.00087851,-0.0011728,0.051326,-0.00087851,-0.0011728,0,0,0,2.1861e-11,-3.5695e-13,-6.0151e-12,3.3609e-06,3.1353e-08,-1.0672e-07,2.2596e-11,-8.1028e-13,-5.7094e-12,2.1861e-11,-3.5695e-13,-6.0151e-12,-0.0255,-0.00083333,0.001
573,1,0.175,1,0,0,0,3002.3,0,573,0,1,0,1,0.05,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0355,0.00083333,0.001
580.63,1,0.175,1,0,0,0,3002.3,0,580.63,0,1,0,1,0.040508,1.849e-05,0.010564,0.040508,1.849e-05,0.010564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.03425,0.00083333,0.001
588.36,1,0.175,1,0,0,0,3002.3,0,588.36,0,1,0,1,0.031866,3.5156e-05,0.0068401,0.031866,3.5156e-05,0.0068401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.033,0.00083333,0.001
596.24,1,0.175,1,0,0,0,3002.3,0,596.24,0,1,0,1,0.025404,7.6005e-05,0.0040908,0.025404,7.6005e-05,0.0040908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.03175,0.00083333,0.001
603.68,1,0.175,1,0,0,0,3002.3,0,603.68,0,1,0,1,0.020013,0.00018005,0.0017265,0.020013,0.00018005,0.0017265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0305,0.00083333,0.001
610.56,1,0.175,1,0,0,0,3002.3,0,610.56,0,1,0,1,0.018682,0.00033813,-0.00024977,0.018682,0.00033813,-0.00024977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.02925,0.00083333,0.001
615.72,1,0.175,1,0,0,0,3002.2,0,615.72,0,1,0,1,0.015717,0.00078325,-0.0034246,0.015717,0.00078325,-0.0034246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.028,0.00083333,0.001
